Opponent,Date,LAL FTA,Opp FTA,FTA Diff
NJN,6/12/2002,10,5,5
NJN,6/9/2002,14,3,11
NJN,6/7/2002,6,5,1
NJN,6/5/2002,25,10,15
SAC,6/2/2002,11,9,2
SAC,5/31/2002,27,9,18
SAC,5/28/2002,6,10,-4
SAC,5/26/2002,8,2,6
SAC,5/24/2002,8,16,-8
SAC,5/20/2002,16,10,6
SAC,5/18/2002,14,6,8
SAS,5/14/2002,6,9,-3
SAS,5/12/2002,12,6,6
SAS,5/10/2002,10,3,7
SAS,5/7/2002,8,7,1
SAS,5/5/2002,12,4,8
POR,4/28/2002,4,13,-9
POR,4/25/2002,12,7,5
POR,4/21/2002,9,10,-1
